id,customer_code,name,address_line1,address_line2,address_line3,address_line4,postcode,phone_number,country_code,category,currency,pod_on_portal,invoice_on_portal,handheld_status_on_portal,eta_status_on_portal,general_status_on_portal,status,vat_number,payment_terms,created_at,updated_at,is_deleted
3,AMM001,A&M MARQUEES/EVENTS LTD,13 THORNEYHOLME DRIVE,KNUTSFORD,Knutsford,Cheshire,WA16 8BT,1565633977,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
4,ABF001,AB FEEDS LTD,UNIT J1D MAYNOOTH BUSINESS CAMPUS,.,MAYNOOTH,CO KILDARE,KILD,35315054515,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
5,ABP001,AB Powder Products,"Unit 3, Digital Court",Waymills Industrial Estate,Whitchurch,Shropshire,SY13 1TT,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
6,ATY001,ABCO TYRES LTD,UNIT 1,PLATFORM COMMERCIAL PARK,BERT SMITH WAY,MARKET DRAYTON,TF9 3GY,01630 817445,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
7,AFB001,AFB FARM SUPPLIES,UNIT 23,SHEERAN INDUSTRIAL ESTATE,Middlewich,Cheshire,CW10 0LH,01606 836464,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
8,ALL004,ALL TYPE ROOFING SUPPLIES LTD,5 RIPON ROAD,PLUMSTEAD,London,Greater London,SE18 3PS,0208 316 8150,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
9,ARN001,ARNDALE TRANSPORT LTD,200 CHESTER ROAD,HELSBY,Frodsham,Cheshire,WA6 0AP,01928 739474,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
10,ARR003,ARROW SELF DRIVE LTD,198 BASINGSTOKE ROAD,READING,Reading,Berkshire,RG2 0XA,07769 686666,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
11,ART001,ARTO CHEMICALS LTD,ARTO HOUSE,LONDON ROAD,Bracknell,Berkshire,RG42 4BU,01344 860737,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
12,ATE001,ATEC Enterprises Ltd,98 Old Eglish Road,Dungannon,Dungannon,County Tyrone,BT71 7RQ,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
13,BAM001,BAM NUTTALL LTD,UNIT 9 ROAD THREE INDUSTRIAL EST,WINSFORD,Winsford,Cheshire,CW7 3PD,01606 867123,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
14,BAR003,BARRON WOOD DISTRIBUTION LTD,BROOK LANE,MUCH HOOLE,Preston,Lancashire,PR4 5JB,01772 610160,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
15,BAT001,BATHERTON SERVICES LTD,STAPELEY HOUSE,LONDON ROAD,Nantwich,Cheshire,CW5 7JW,01270 660429,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
16,BLA002,BLAKELEY LTD T/A TEC HUT LTD,UNIT 1 INNOVATION HOUSE,BROWNING WAY,Winsford,Cheshire,CW7 2RH,0330 124 4716,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
17,BLU001,BLUE CHIP TECHNOLOGY LTD,CHOWLEY OAK,CHESTER,Chester,Cheshire,CH3 9EX,01829 772000,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
18,BOU001,BOUGHEY DISTRIBUTION LTD,WARDLE,NANTWICH,Nantwich,Cheshire,CW5 6RS,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
19,BOUSAP,BOUGHEY DISTRIBUTION LTD SAP,WARDLE,,NANTWICH,,CW5 6RS,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
20,BOW001,BOWLAND TRADERS LTD,WESTFIELD,BUCK ROAD,Wrexham,Wrexham,LL13 9TF,1978802462,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
21,BTC001,BREW TEA COMPANY,TEA HQ,8 PREMIER PARK,Manchester,Greater Manchester,M17 1GA,08433 092166,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
22,BRO006,BROOKSIDE PET FOOD LTD,CHURCH LANE,BETLEY,Crewe,Staffordshire,CW3 9AY,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
23,BUI003,Buitelaar Foods Ltd (Caravel Foods),Pilsworth,Castledermot,.,.,R14 X899,3.54E+11,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
24,BUI002,Buitelaar Production UK Ltd,High Grove Warehouse,Old Llwyn Onn Farm,Wrexham,Wrexham,LL13 0NY,01244 579400,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
25,CAS001,CASH SALES ACCOUNT,BOUGHEY DISTRIBUTION,.,Nantwich,Cheshire,CW5 6RS,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
26,CHE004,CHEMSURE ADHESIVES LTD,THE OLD POST OFFICE,OFF LONG LANE,Winsford,Cheshire,CW7 4DN,01270 528069,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
27,CRO001,CROSTON ENGINEERING,TARVIN MILL,BARROW LANE,Chester,Cheshire,CH3 8JF,01829 741119,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
